"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.510855649,0.091399956,0.431538202,0.051778113,0.055994728,0.557059617,0.206589346,0.093578828,0.056441105,0.790057519,0.054433323,0.151351723,0.108249822,0.508587127,0.137361822,0.014560906,0.297047961,0.556589711,0.101222554,0.017845938,0,1,0,0.850220264,1,1,0.913793103,1,1,0.166666667,0,0,1,0
0,0,0.516227484,0.077508396,0.466305644,0.068921053,0.07477464,0.582881556,0.206589346,0.223835472,0.060142335,0.886326332,0.071145629,0.150318722,0.106815536,0.520316578,0.083697376,0.020079497,0.176383766,0.55751317,0.101176506,0.017587697,0,1,0,0.95154185,1,1,0.922413793,1,1,0.166666667,0,0,1,0
0,0,0.539110465,0.069540863,0.504341304,0.088846742,0.094304374,0.556631393,0.206589346,0.156477522,0.064641416,0.68548398,0.087581247,0.149875719,0.105260596,0.541232366,0.071007619,0.025700229,0.135424356,0.557602436,0.102181058,0.017013965,0,1,0,0.735682819,1,1,0.931034483,1,1,0.166666667,0,0,1,0
0,0,0.574560434,0.064859182,0.489925739,0.098568022,0.107204111,0.614848517,0.206589346,0.066177767,0.067772413,0.429252604,0.104479785,0.144685079,0.103510949,0.569619927,0.087469776,0.030456731,0.103321039,0.557255087,0.09981152,0.016293926,0,1,0,0.462555066,1,1,0.939655172,1,1,0.166666667,0,0,1,0
0,0,0.545191359,0.033017453,0.491813415,0.112410755,0.118961059,0.551428465,0.206589346,0.087865717,0.073793032,0.493101983,0.106274385,0.140305228,0.101885712,0.603062252,0.12643934,0.034648009,0.088191888,0.600071637,0.127111661,0.017454446,0,1,0,0.528634361,1,1,0.948275862,1,1,0.166666667,0,0,1,0
0,0,0.474178182,0.033486213,0.505572363,0.134905762,0.140229407,0.511153949,0.206589346,0.035590837,0.07913315,0.570009579,0.111665103,0.139113293,0.144420086,0.636140398,0.148854492,0.04041754,0.184132836,0.505453374,0.116810878,0.018986959,0,1,0,0.612334802,1,1,0.956896552,1,1,0.166666667,0,0,1,0
0,0,0.382778938,0.03490153,0.524968216,0.165479074,0.169241064,0.483212299,0.206589346,0.078971267,0.086342417,0.591909638,0.100576146,0.139087839,0.12605525,0.660581273,0.186922151,0.049103888,0.201845022,0.47402202,0.080022367,0.020997417,0,1,0,0.634361234,1,1,0.965517241,1,1,0.166666667,0,0,1,0
0,0,0.396536459,0.036981582,0.510508306,0.184950836,0.191848069,0.520425009,0.206589346,0.113087426,0.095154065,0.590524913,0.0943209,0.177740293,0.116686504,0.675258908,0.175564467,0.056505244,0.201845022,0.495917461,0.065306963,0.02183997,0,1,0,0.634361234,1,1,0.974137931,1,1,0.166666667,0,0,1,0
0,0,0.500239589,0.037556014,0.518622753,0.217341624,0.214735793,0.40116448,0.206589346,0.113189908,0.10462564,0.583739724,0.093842732,0.160153029,0.113283114,0.235747686,0.180599491,0.069560936,0.195202949,0.530906392,0.080758138,0.037177788,0,1,0,0.625550661,1,1,0.982758621,1,1,0.166666667,0,0,1,0
0,0,0.626533557,0.03968811,0.564299694,0.256424714,0.24214833,0.284665999,0.206589346,0.088505404,0.110909934,0.433228582,0.096342178,0.153102769,0.110882028,0.287448461,0.217855191,0.076357808,0.341328414,0.554857181,0.10761375,0.059163236,0,1,0,0.466960352,1,1,0.99137931,1,1,0.166666667,0,0,1,0
0,0,0.553200027,0.041422027,0.536043486,0.266912921,0.257870581,0.36519362,0.206589346,0.126392151,0.117313546,0.510689382,0.07571595,0.165025088,0.107709013,0.368680268,0.226870466,0.086686638,0.298154972,0.584343097,0.100991818,0.048798041,0,1,0,0.550660793,1,1,1,1,1,0.166666667,0,0,1,0
0,0,0.569945831,0.054401366,0.509267665,0.285032041,0.270780221,0.325518618,0.206589346,0.124050919,0.126553102,0.545262991,0.072042844,0.14060761,0.073730786,0.496370286,0.21915495,0.103587659,0.230627308,0.635596977,0.10761375,0.062850385,1,1,0,0.585903084,0.897959184,0.826530612,0.413793103,0.957894737,0.947916667,1,0,1,0.446808511,0
0,0,0.767940277,0.055193996,0.480395614,0.252643579,0.248311,0.450624412,0.206589346,0.155045106,0.126382214,0.093898636,0.050958609,0.156206005,0.088758289,0.649340532,0.294484791,0.089302145,0.491881907,0.625537704,0.125272235,0.069633751,0,1,0,0.101321586,0.897959184,0.826530612,0.422413793,0.957894737,0.947916667,0.916666667,0,1,0.446808511,0
0,0,0.929060127,0.06040747,0.478375789,0.241727558,0.247866742,0.556417281,0.147360196,0.273421211,0.129531327,0.438695106,0,0.137922708,0.089604105,0.771306031,0.339587568,0.074719191,0.676752762,0.568594678,0.100623933,0.047279685,0,1,0,0.471365639,0.897959184,0.826530612,0.431034483,0.957894737,0.947916667,0.916666667,0,1,0.446808511,0
0,0,0.928223459,0.065221663,0.542612842,0.283397387,0.287222676,0.512845435,0.193702524,0.70660469,0.132244014,0.650625453,0.002384702,0.144559692,0.086601316,0.881883099,0.32083123,0.079550664,0.5295203,0.558673625,0.114235682,0.050456823,0,1,0,0.700440529,0.897959184,0.826530612,0.439655172,0.957894737,0.947916667,1,0,1,0.446808511,0
0,0,0.775075656,0.068336633,0.526648319,0.271432238,0.276044549,0.550208025,0.547907964,0.326810139,0.129449411,0.358719745,0.017309524,0.082397389,0.082515184,0.970927829,0.385034941,0.076363004,0.548339496,0.553086903,0.071377068,0.024934395,0,1,0,0.387665198,0.897959184,0.826530612,0.448275862,0.957894737,0.947916667,0.833333333,0,0.666666667,0.446808511,0
0,0,0.776206714,0.070067061,0.562184068,0.279779642,0.291694953,0.587827549,0.534432386,0.084489157,0.129229366,0.403750389,0.007555354,0.087747022,0.082382869,1,0.41819552,0.065963194,0.790774925,0.539802924,0.040658661,0.003528204,0,1,0,0.436123348,0.897959184,0.826530612,0.456896552,0.957894737,0.947916667,0.916666667,0.333333333,0.666666667,0.446808511,0
0,0,0.878827825,0.076437527,0.647714426,0.310533193,0.323202182,0.650498208,0.508492217,0.209700088,0.128719537,0.461279086,0.009832659,0.124810077,0.083063988,0.9294309,0.445658386,0.060844088,0.854981558,0.541930929,0.038819236,0.000596811,0,1,0,0.497797357,0.897959184,0.826530612,0.465517241,0.957894737,0.947916667,0.833333333,0,0.666666667,0.446808511,0
